Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
1,21-Sep-22,Customer Service,Internal,Failed,Port Greg,Amanda Daniels,4,510.83
2,19-Jul-23,Leadership Development,Internal,Failed,Brandonview,Brittany Chambers,2,582.37
3,24-Feb-23,Technical Skills,Internal,Incomplete,Port Briannahaven,Mark Roberson,4,777.06
4,12-Jan-23,Customer Service,Internal,Completed,Knightborough,Richard Fisher,2,824.3
5,12-May-23,Communication Skills,External,Passed,Bruceshire,Heather Shaffer,4,145.99
6,08-May-23,Project Management,Internal,Failed,Erinfort,Michael Duke,2,838.07
7,14-May-23,Leadership Development,External,Failed,New Christopher,Virginia Clayton DVM,2,667.32
8,02-Aug-23,Technical Skills,External,Incomplete,Lowemouth,Erica Maxwell,2,758.18
9,21-Aug-22,Customer Service,Internal,Incomplete,Johnland,Katelyn Hartman,2,101.21
10,19-Aug-22,Communication Skills,External,Incomplete,Lake Kimfurt,Rhonda Clark,5,332.25
11,06-Nov-22,Communication Skills,Internal,Completed,Smithshire,Natalie Fields,1,803.98
12,28-Mar-23,Technical Skills,External,Failed,Howardburgh,Theresa Martinez,3,887.08
13,08-Apr-23,Project Management,External,Incomplete,East Jessicatown,Michael Marks,2,657.85
14,21-Feb-23,Customer Service,External,Incomplete,Watersview,Rachel Jones,2,895.49
15,13-May-23,Leadership Development,External,Passed,Port Ninaland,Jennifer Olson,1,539.0
16,30-Apr-23,Communication Skills,External,Completed,Lake Stuartfurt,Eric Johnson,2,606.68
17,14-Nov-22,Technical Skills,External,Passed,Cooleybury,Joseph Mcintyre,3,265.73
18,25-Mar-23,Project Management,Internal,Incomplete,Larsonborough,Whitney Morgan DVM,2,673.29
19,26-Oct-22,Project Management,External,Passed,Powellland,Jon Garcia,5,436.98
20,30-Dec-22,Technical Skills,External,Passed,Chadport,Nicole Taylor,4,578.58
21,10-Mar-23,Technical Skills,Internal,Failed,Patrickhaven,Crystal Nelson,1,647.16
22,12-Jan-23,Project Management,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23
23,19-Oct-22,Project Management,Internal,Failed,West Justinborough,Angela Good,4,893.07
24,11-Oct-22,Project Management,External,Completed,Hullmouth,Keith Curtis,5,868.98
25,13-Jan-23,Project Management,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95
26,17-Apr-23,Communication Skills,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57
27,16-Mar-23,Communication Skills,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57
28,19-Jan-23,Technical Skills,Internal,Incomplete,East Christopher,Gina Moore,3,804.06
29,25-Feb-23,Project Management,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41
30,04-Jan-23,Communication Skills,Internal,Completed,Longton,Wendy Gibson,1,169.46
31,26-Dec-22,Communication Skills,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28
32,07-Dec-22,Technical Skills,External,Completed,New Jackie,Cynthia Bradley,3,482.23
33,20-Jun-23,Communication Skills,Internal,Incomplete,Smithshire,William Smith,4,169.85
34,10-Nov-22,Leadership Development,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62
35,11-Mar-23,Communication Skills,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14
36,10-Dec-22,Customer Service,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98
37,25-Oct-22,Leadership Development,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76
38,28-Jul-23,Customer Service,External,Failed,Jamesland,Eric Davis,2,516.89
39,24-Jan-23,Customer Service,External,Passed,East Williamport,Heather Silva,5,520.41
40,01-Dec-22,Technical Skills,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84
41,07-Mar-23,Customer Service,Internal,Completed,Reesefurt,Taylor Baker,3,871.12
42,05-Oct-22,Project Management,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11
43,10-Aug-22,Communication Skills,External,Completed,West Danielside,Todd Mason,2,289.93
44,13-Sep-22,Technical Skills,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78
45,11-Jun-23,Customer Service,External,Completed,West Josephport,Jay Wilkins,2,690.41
46,28-Jul-23,Leadership Development,Internal,Failed,Lake Jose,Jason Morgan,2,211.39
47,27-Nov-22,Project Management,Internal,Passed,Smithland,James Phelps,2,606.63
48,02-Dec-22,Leadership Development,Internal,Completed,Powelltown,Ronald Rivera,5,503.99
49,20-Nov-22,Leadership Development,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54
50,03-Aug-23,Customer Service,Internal,Completed,Samanthaport,James Reed,1,846.43
51,13-Oct-22,Leadership Development,Internal,Passed,Hardingfort,Mark Morgan,3,572.94
52,25-Oct-22,Communication Skills,Internal,Incomplete,Larryview,Robin Becker,4,234.76
53,19-Dec-22,Communication Skills,External,Passed,Valdezfort,Erika Roberts,4,704.7
54,04-Nov-22,Technical Skills,External,Failed,Tammyfurt,Cynthia Porter,3,533.97
55,15-Nov-22,Customer Service,Internal,Passed,West Robert,Anna Petty,2,125.7
56,16-Feb-23,Leadership Development,Internal,Completed,South Julieville,Julie Cole,2,442.06
57,23-Oct-22,Project Management,Internal,Failed,East Amanda,Andrew Herrera,4,649.23
58,01-Apr-23,Project Management,External,Incomplete,South Jesusport,Amanda Christian,1,855.67
59,16-Sep-22,Technical Skills,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82
60,06-Sep-22,Project Management,Internal,Completed,East Andres,Cindy Schultz,1,770.84
61,01-Aug-23,Project Management,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33
62,27-Nov-22,Technical Skills,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84
63,15-Oct-22,Technical Skills,Internal,Completed,Onealland,Eric Harris,1,523.82
64,06-Oct-22,Leadership Development,External,Passed,South Charlene,Jacqueline Barton,1,819.86
65,09-Dec-22,Technical Skills,External,Passed,East Leah,Kara Frazier MD,4,486.01
66,14-Jun-23,Communication Skills,Internal,Completed,Brandonberg,Travis Knox,5,769.42
